Identifier,Title,Start date,End date,Number of deaths,Year,Month,State,Region,BanditScore,TravelRiskScore,RouteAlert
IBD031681,"Food Poisoning, Imo",2025-04-18,2025-04-18,1,2024,1,Imo,South East,0,0,Safe
IBD032064,"Gunmen Kill Man, Benue",2025-03-31,2025-03-31,1,2024,1,Benue,North Central,1,5,Caution
IBD032058,"Auto Crash, Lagos",2025-03-31,2025-03-31,1,2024,1,Lagos,South West,0,0,Safe
IBD032066,"Stray Bullets, Sokoto",2025-03-31,2025-03-31,1,2024,1,Sokoto,North West,0,0,Safe
IBD032062,"Lightening Kills Herder, Kaduna",2025-03-30,2025-03-30,1,2024,1,Kaduna,North West,0,0,Safe
IBD032049,"Auto Crash, Katsina",2025-03-30,2025-03-30,9,2024,1,Katsina,North West,0,3,Safe
IBD032065,"Sallah Day Celebration Clash, Plateau",2025-03-30,2025-03-30,4,2024,1,Plateau,North Central,0,3,Safe
IBD032054,"Auto Crash, Abia",2025-03-30,2025-03-30,1,2024,1,Abia,South East,0,0,Safe
IBD032048,"Gas Explosion, Delta",2025-03-30,2025-03-30,2,2024,1,Delta,South South,0,0,Safe
IBD032061,"Auto Crash, Ogun",2025-03-30,2025-03-30,1,2024,1,Ogun,South West,0,0,Safe
IBD032052,"Stampede, Gombe",2025-03-30,2025-03-30,2,2024,1,Gombe,North East,0,0,Safe
IBD032063,"Fishing Activities, Kogi",2025-03-30,2025-03-30,2,2024,1,Kogi,North Central,0,0,Safe
IBD032057,"Herdsmen Kill Graduate, FCT (Abuja)",2025-03-29,2025-03-29,1,2024,1,FCT,North Central,1,5,Caution
IBD032060,"Labourer Kills Employer, Ondo",2025-03-29,2025-03-29,1,2024,1,Ondo,South West,0,0,Safe
IBD032050,"Auto Crash, Lagos",2025-03-29,2025-03-29,1,2024,1,Lagos,South West,0,0,Safe
IBD032059,"Extrajudicial Killing, Delta",2025-03-29,2025-03-29,1,2024,1,Delta,South South,0,0,Safe
IBD032046,"Security Forces vs Shiites Members, FCT (Abuja)",2025-03-28,2025-03-28,6,2024,1,FCT,North Central,0,3,Safe
