Title,Summary,Source,URL,State,Category,Number of deaths,Published,Fetched
"FRSC confirms nine dead, 17 injured in Katsina highway crash","<p>The Federal Road Safety Corps in Katsina State has confirmed the death of nine persons and injuries to 17 others in a fatal road accident involving a commercial bus and a trailer along the Kankia-Katsina Road.</p>
<p>The post <a href=""https://www.vanguardngr.com/2026/05/frsc-confirms-nine-dead-17",Vanguard,https://www.vanguardngr.com/2026/05/frsc-confirms-nine-dead-17-injured-in-katsina-highway-crash/,Katsina,Auto Crash,0,"Tue, 26 May 2026 11:38:10 +0000",2026-05-26 12:49
"Police kill three kidnappers, rescue abducted victim in Oyo","<p>It added that upon arrival at the scene, the security team came under fire from the suspected kidnappers, resulting in a gun duel.</p>
<p>The post <a href=""https://www.vanguardngr.com/2026/05/police-kill-three-kidnappers-rescue-abducted-victim-in-oyo/"">Police kill three kidnappers, rescue abducte",Vanguard,https://www.vanguardngr.com/2026/05/police-kill-three-kidnappers-rescue-abducted-victim-in-oyo/,Oyo,Violence,0,"Tue, 26 May 2026 11:16:26 +0000",2026-05-26 12:49
Court reserves judgment in Owo terror attack; DSS seeks capital punishment,"<p>The Department of State Services (DSS) charged Idris Omeiza, Al Qasim Idris, Jamiu Abdulmalik, Abdulhaleem Idris, and Momoh Abubakar with nine counts of terrorism.</p>
<p>The post <a href=""https://www.vanguardngr.com/2026/05/court-reserves-judgment-in-owo-terror-attack-dss-seeks-capital-punishmen",Vanguard,https://www.vanguardngr.com/2026/05/court-reserves-judgment-in-owo-terror-attack-dss-seeks-capital-punishment/,Unknown,Violence,0,"Tue, 26 May 2026 11:15:31 +0000",2026-05-26 12:49
Airtime lending returns as FCCPC bows to court order,"<p>The return of the services has brought relief to millions of subscribers who depend on emergency airtime credit for daily communication and small-scale business operations.</p>
<p>The post <a href=""https://www.vanguardngr.com/2026/05/just-in-airtime-lending-returns-as-fccpc-bows-to-court-order/"">",Vanguard,https://www.vanguardngr.com/2026/05/just-in-airtime-lending-returns-as-fccpc-bows-to-court-order/,Unknown,Other,0,"Tue, 26 May 2026 10:05:01 +0000",2026-05-26 12:49
"US hits Iran with new strikes, despite talks to end war","<p>US forces attacked missile sites in southern Iran and boats trying to lay mines on Monday, US Central Command said, imperiling a fragile ceasefire and casting new doubt on a deal to end the Middle East war.</p>
<p>The post <a href=""https://www.vanguardngr.com/2026/05/us-hits-iran-with-new-strikes",Vanguard,https://www.vanguardngr.com/2026/05/us-hits-iran-with-new-strikes-despite-talks-to-end-war/,Unknown,Violence,0,"Tue, 26 May 2026 09:24:36 +0000",2026-05-26 12:49
"Troops eliminate two terrorists, rescue four kidnap victims, foil pipeline attack","<p>“The swift response of the troops disrupted the operation before it could be executed, with the suspects fleeing the scene,” it said.</p>
<p>The post <a href=""https://www.vanguardngr.com/2026/05/troops-eliminate-two-terrorists-rescue-four-kidnap-victims-foil-pipeline-attack/"">Troops eliminate two",Vanguard,https://www.vanguardngr.com/2026/05/troops-eliminate-two-terrorists-rescue-four-kidnap-victims-foil-pipeline-attack/,Unknown,Violence,0,"Tue, 26 May 2026 08:49:26 +0000",2026-05-26 12:49
"Eid-el-Kabir: Police deploy bomb disposal teams to Abuja worship centres, others","FCT Police deploy bomb disposal teams and intensify security operations across Abuja for a peaceful Eid-el-Kabir celebration. Report suspicious activities.

Read More: https://punchng.com/eid-el-kabir-police-deploy-bomb-disposal-teams-to-abuja-worship-centres-others/",Punch,https://punchng.com/eid-el-kabir-police-deploy-bomb-disposal-teams-to-abuja-worship-centres-others/?utm_source=rss.punchng.com&utm_medium=web,FCT,Explosion,0,"Tue, 26 May 2026 11:53:30 +0000",2026-05-26 12:49
Several dead after train hits school bus in Belgium,"A tragic train accident in Belgium has left several dead after a train collided with a school bus carrying children. Get the latest updates on the Belgium

Read More: https://punchng.com/several-dead-after-train-hits-school-bus-in-belgium/",Punch,https://punchng.com/several-dead-after-train-hits-school-bus-in-belgium/?utm_source=rss.punchng.com&utm_medium=web,Unknown,Auto Crash,0,"Tue, 26 May 2026 11:52:34 +0000",2026-05-26 12:49
BREAKING: Ex-police commissioner Owoseni withdraws from Oyo Accord gov primary,"Former Lagos CP Fatai Owoseni withdraws from the Oyo Accord Party governorship primary, citing alleged manipulation and rising violence within the party.

Read More: https://punchng.com/breaking-ex-police-commissioner-owoseni-withdraws-from-oyo-accord-gov-primary/",Punch,https://punchng.com/breaking-ex-police-commissioner-owoseni-withdraws-from-oyo-accord-gov-primary/?utm_source=rss.punchng.com&utm_medium=web,Lagos,Other,0,"Tue, 26 May 2026 11:19:13 +0000",2026-05-26 12:49
Kano-Katsina road crash claims 12 lives as Radda mourns,"Governor Radda mourns 12 lives lost in a tragic Kano-Katsina road crash. Learn more about the fatal accident and safety warnings.

Read More: https://punchng.com/kano-katsina-road-crash-claims-12-lives-as-radda-mourns/",Punch,https://punchng.com/kano-katsina-road-crash-claims-12-lives-as-radda-mourns/?utm_source=rss.punchng.com&utm_medium=web,Kano,Auto Crash,12,"Tue, 26 May 2026 10:03:18 +0000",2026-05-26 12:49
