Identifier,Title,Start date,End date,Number of deaths,Year,Month,State,Region,BanditScore,TravelRiskScore,RouteAlert,RainfallLevel,FloodRisk,WeatherRiskScore,CombinedRiskScore,CombinedAlert
IBD031681,"Food Poisoning, Imo",2025-04-18,2025-04-18,1,2024,1,Imo,South East,0,0,Safe,59,Moderate,3,3,Low Risk
IBD032064,"Gunmen Kill Man, Benue",2025-03-31,2025-03-31,1,2024,1,Benue,North Central,1,5,Caution,38,Low,1,7,Moderate Risk
IBD032058,"Auto Crash, Lagos",2025-03-31,2025-03-31,1,2024,1,Lagos,South West,0,0,Safe,85,High,5,5,Moderate Risk
IBD032066,"Stray Bullets, Sokoto",2025-03-31,2025-03-31,1,2024,1,Sokoto,North West,0,0,Safe,43,Low,1,1,Low Risk
IBD032062,"Lightening Kills Herder, Kaduna",2025-03-30,2025-03-30,1,2024,1,Kaduna,North West,0,0,Safe,40,Low,1,1,Low Risk
IBD032049,"Auto Crash, Katsina",2025-03-30,2025-03-30,9,2024,1,Katsina,North West,0,3,Safe,45,Low,1,4,Moderate Risk
IBD032065,"Sallah Day Celebration Clash, Plateau",2025-03-30,2025-03-30,4,2024,1,Plateau,North Central,0,3,Safe,24,Low,1,4,Moderate Risk
IBD032054,"Auto Crash, Abia",2025-03-30,2025-03-30,1,2024,1,Abia,South East,0,0,Safe,69,Moderate,3,3,Low Risk
IBD032048,"Gas Explosion, Delta",2025-03-30,2025-03-30,2,2024,1,Delta,South South,0,0,Safe,90,High,5,5,Moderate Risk
IBD032061,"Auto Crash, Ogun",2025-03-30,2025-03-30,1,2024,1,Ogun,South West,0,0,Safe,71,Moderate,3,3,Low Risk
IBD032052,"Stampede, Gombe",2025-03-30,2025-03-30,2,2024,1,Gombe,North East,0,0,Safe,14,Low,1,1,Low Risk
IBD032063,"Fishing Activities, Kogi",2025-03-30,2025-03-30,2,2024,1,Kogi,North Central,0,0,Safe,30,Low,1,1,Low Risk
IBD032057,"Herdsmen Kill Graduate, FCT (Abuja)",2025-03-29,2025-03-29,1,2024,1,FCT,North Central,1,5,Caution,16,Low,1,7,Moderate Risk
IBD032060,"Labourer Kills Employer, Ondo",2025-03-29,2025-03-29,1,2024,1,Ondo,South West,0,0,Safe,75,Moderate,3,3,Low Risk
IBD032050,"Auto Crash, Lagos",2025-03-29,2025-03-29,1,2024,1,Lagos,South West,0,0,Safe,80,High,5,5,Moderate Risk
IBD032059,"Extrajudicial Killing, Delta",2025-03-29,2025-03-29,1,2024,1,Delta,South South,0,0,Safe,97,High,5,5,Moderate Risk
IBD032046,"Security Forces vs Shiites Members, FCT (Abuja)",2025-03-28,2025-03-28,6,2024,1,FCT,North Central,0,3,Safe,26,Low,1,4,Moderate Risk
IBD032056,"Pirates vs Fashion Designer, Rivers (Offshore)",2025-03-28,2025-03-28,1,2024,1,Rivers,South South,0,0,Safe,92,High,5,5,Moderate Risk
IBD032042,"Gas Explosion, Abia",2025-03-27,2025-03-27,2,2024,1,Abia,South East,0,0,Safe,52,Moderate,3,3,Low Risk
